alpha,attack_eps,coverage,coverage_certav_abstained,coverage_certified_at_radius,coverage_fake,coverage_real,coverage_uncertified_at_radius,key,mean_set_size,n,n_calibration,qhat,radius,score_type,singleton_rate,source,variant
0.2,0.5,0.9527272727272728,1.0,0.9467213114754098,1.0,0.48,1.0,alpha_0.200__r_1.00__score_raw,1.2327272727272727,825,825,0.048021633141175024,1.0,raw,0.7672727272727272,/kaggle/working/phase2/conformal/anisotropic_strat1_seed2026_test_eval.json,pgd_eps_0.50
0.05,0.5,0.9296969696969697,1.0,0.9296969696969697,0.9946666666666667,0.28,,alpha_0.050__r_0.00__score_cp,1.1066666666666667,825,825,0.8954740484283712,0.0,cp,0.8933333333333333,/kaggle/working/phase2/conformal/anisotropic_strat1_seed2026_test_eval.json,pgd_eps_0.50
0.1,0.5,0.9103030303030303,1.0,0.9103030303030303,0.988,0.13333333333333333,,alpha_0.100__r_0.00__score_cp,1.052121212121212,825,825,0.33304338689749724,0.0,cp,0.9478787878787879,/kaggle/working/phase2/conformal/anisotropic_strat1_seed2026_test_eval.json,pgd_eps_0.50
0.2,0.5,0.9527272727272728,1.0,0.9527272727272728,1.0,0.48,,alpha_0.200__r_0.00__score_cp,1.2327272727272727,825,825,0.048021633141175024,0.0,cp,0.7672727272727272,/kaggle/working/phase2/conformal/anisotropic_strat1_seed2026_test_eval.json,pgd_eps_0.50
0.05,0.5,1.0,1.0,1.0,1.0,1.0,1.0,alpha_0.050__r_0.25__score_cp,2.0,825,825,0.5,0.25,cp,0.0,/kaggle/working/phase2/conformal/anisotropic_strat1_seed2026_test_eval.json,pgd_eps_0.50
0.1,0.5,0.9103030303030303,1.0,0.9066834804539723,0.988,0.13333333333333333,1.0,alpha_0.100__r_0.25__score_cp,1.052121212121212,825,825,0.33304338689749724,0.25,cp,0.9478787878787879,/kaggle/working/phase2/conformal/anisotropic_strat1_seed2026_test_eval.json,pgd_eps_0.50
0.2,0.5,0.9527272727272728,1.0,0.9508196721311475,1.0,0.48,1.0,alpha_0.200__r_0.25__score_cp,1.2327272727272727,825,825,0.048021633141175024,0.25,cp,0.7672727272727272,/kaggle/working/phase2/conformal/anisotropic_strat1_seed2026_test_eval.json,pgd_eps_0.50
0.05,0.5,1.0,1.0,1.0,1.0,1.0,1.0,alpha_0.050__r_0.50__score_cp,2.0,825,825,0.5,0.5,cp,0.0,/kaggle/working/phase2/conformal/anisotropic_strat1_seed2026_test_eval.json,pgd_eps_0.50
0.1,0.5,1.0,1.0,1.0,1.0,1.0,1.0,alpha_0.100__r_0.50__score_cp,2.0,825,825,0.5,0.5,cp,0.0,/kaggle/working/phase2/conformal/anisotropic_strat1_seed2026_test_eval.json,pgd_eps_0.50
0.2,0.5,0.9527272727272728,1.0,0.9499358151476252,1.0,0.48,1.0,alpha_0.200__r_0.50__score_cp,1.2327272727272727,825,825,0.048021633141175024,0.5,cp,0.7672727272727272,/kaggle/working/phase2/conformal/anisotropic_strat1_seed2026_test_eval.json,pgd_eps_0.50
0.05,0.5,1.0,1.0,1.0,1.0,1.0,1.0,alpha_0.050__r_1.00__score_cp,2.0,825,825,0.5,1.0,cp,0.0,/kaggle/working/phase2/conformal/anisotropic_strat1_seed2026_test_eval.json,pgd_eps_0.50
0.1,0.5,1.0,1.0,1.0,1.0,1.0,1.0,alpha_0.100__r_1.00__score_cp,2.0,825,825,0.5,1.0,cp,0.0,/kaggle/working/phase2/conformal/anisotropic_strat1_seed2026_test_eval.json,pgd_eps_0.50
0.2,0.5,0.9527272727272728,1.0,0.9467213114754098,1.0,0.48,1.0,alpha_0.200__r_1.00__score_cp,1.2327272727272727,825,825,0.048021633141175024,1.0,cp,0.7672727272727272,/kaggle/working/phase2/conformal/anisotropic_strat1_seed2026_test_eval.json,pgd_eps_0.50
0.05,0.5,0.9296969696969697,1.0,0.9296969696969697,0.9946666666666667,0.28,,alpha_0.050__r_0.00__score_log,1.1066666666666667,825,825,1.995100393246085,0.0,log,0.8933333333333333,/kaggle/working/phase2/conformal/anisotropic_strat1_seed2026_test_eval.json,pgd_eps_0.50
0.1,0.5,0.9103030303030303,1.0,0.9103030303030303,0.988,0.13333333333333333,,alpha_0.100__r_0.00__score_log,1.052121212121212,825,825,0.33827385856784115,0.0,log,0.9478787878787879,/kaggle/working/phase2/conformal/anisotropic_strat1_seed2026_test_eval.json,pgd_eps_0.50
